Player,Round,DraftNumber,PreTeam,urlsummary,PreType,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,Position,Year
Anthony Edwards,1,1,Georgia,https://basketball.realgm.com/player/Anthony-Edwards/Summary/117444,College,32.0,31.0,33.0,19.06,6.34,15.78,0.402,2.25,7.66,0.294,4.12,5.34,0.772,0.75,4.47,5.22,2.84,1.34,0.56,2.72,2.19,SF,2020
James Wiseman,1,2,Memphis,https://basketball.realgm.com/player/James-Wiseman/Summary/107990,College,3.0,3.0,23.0,19.67,6.67,8.67,0.769,0.0,0.33,0.0,6.33,9.0,0.7040000000000001,4.33,6.33,10.67,0.33,0.33,3.0,1.0,1.67,C,2020
LaMelo Ball,1,3,Illawarra (Australia),https://basketball.realgm.com/player/LaMelo-Ball/Summary/103892,Overseas,13.0,13.0,31.3,17.15,6.31,16.23,0.389,1.85,6.62,0.279,2.69,3.85,0.7,2.0,5.85,7.85,6.77,1.54,0.15,2.54,2.62,G,2020
Patrick Williams,1,4,Florida State,https://basketball.realgm.com/player/Patrick-Williams/Summary/132443,College,29.0,0.0,22.5,9.24,3.28,7.14,0.459,0.55,1.72,0.32,2.14,2.55,0.838,1.31,2.69,4.0,1.0,1.0,1.03,1.72,1.62,G,2020
Isaac Okoro,1,5,Auburn,https://basketball.realgm.com/player/Isaac-Okoro/Summary/117420,College,28.0,28.0,31.5,12.82,4.46,8.75,0.51,0.71,2.5,0.28600000000000003,3.18,4.71,0.674,1.89,2.54,4.43,2.04,0.93,0.89,1.96,2.71,SG,2020
Onyeka Okongwu,1,6,USC,https://basketball.realgm.com/player/Onyeka-Okongwu/Summary/103946,College,28.0,28.0,30.6,16.21,6.25,10.14,0.616,0.04,0.14,0.25,3.68,5.11,0.72,3.29,5.36,8.64,1.07,1.21,2.71,2.0,2.68,PF,2020
Killian Hayes,1,7,Ratiopharm Ulm (Germany),https://basketball.realgm.com/player/Killian-Hayes/Summary/108654,Overseas,33.0,33.0,24.8,11.58,4.15,8.61,0.482,0.91,3.09,0.294,2.36,2.7,0.8759999999999999,0.36,2.45,2.82,5.39,1.45,0.27,3.21,2.97,G,2020
Obi Toppin,1,8,Dayton,https://basketball.realgm.com/player/Obi-Toppin/Summary/121580,College,31.0,31.0,31.6,20.03,7.9,12.48,0.633,1.03,2.65,0.39,3.19,4.55,0.7020000000000001,1.19,6.35,7.55,2.16,0.97,1.23,2.19,1.65,F,2020
Deni Avdija,1,9,Maccabi Tel Aviv U18 (Israel),https://basketball.realgm.com/player/Deni-Avdija/Summary/116938,Overseas,59.0,26.0,21.7,9.02,3.42,6.78,0.505,1.03,3.1,0.333,1.14,1.93,0.588,0.56,4.1,4.66,2.0,0.68,0.66,1.58,2.07,SG,2020
Jalen Smith,1,10,Maryland,https://basketball.realgm.com/player/Jalen-Smith/Summary/92804,College,31.0,31.0,31.2,15.45,5.42,10.06,0.5379999999999999,1.03,2.81,0.368,3.58,4.77,0.75,3.19,7.32,10.52,0.81,0.71,2.35,1.71,2.35,C,2020
Devin Vassell,1,11,Florida State,https://basketball.realgm.com/player/Devin-Vassell/Summary/132173,College,30.0,30.0,28.7,12.67,4.8,9.8,0.49,1.47,3.53,0.415,1.6,2.17,0.738,1.27,3.8,5.07,1.63,1.4,0.97,0.77,1.93,SG,2020
Tyrese Haliburton,1,12,Iowa State,https://basketball.realgm.com/player/Tyrese-Haliburton/Summary/132168,College,22.0,22.0,36.7,15.23,5.59,11.09,0.504,2.36,5.64,0.419,1.68,2.05,0.8220000000000001,1.45,4.41,5.86,6.45,2.45,0.68,2.77,1.27,PG,2020
Kira Lewis Jr.,1,13,Alabama,https://basketball.realgm.com/player/Kira-Lewis-Jr/Summary/117441,College,31.0,31.0,37.6,18.48,6.65,14.48,0.459,1.81,4.94,0.366,3.39,4.23,0.802,0.84,3.94,4.77,5.23,1.81,0.58,3.55,2.61,PG,2020
Aaron Nesmith,1,14,Vanderbilt,https://basketball.realgm.com/player/Aaron-Nesmith/Summary/132149,College,14.0,14.0,35.7,23.0,7.5,14.64,0.512,4.29,8.21,0.522,3.71,4.5,0.825,0.79,4.07,4.86,0.93,1.43,0.86,1.71,2.79,F,2020
Cole Anthony,1,15,North Carolina,https://basketball.realgm.com/player/Cole-Anthony/Summary/105342,College,22.0,20.0,34.9,18.5,5.95,15.68,0.38,2.23,6.41,0.348,4.36,5.82,0.75,0.45,5.23,5.68,3.95,1.32,0.27,3.5,2.91,PG,2020
Isaiah Stewart,1,16,Washington,https://basketball.realgm.com/player/Isaiah-Stewart-II/Summary/117418,College,32.0,32.0,32.3,16.97,6.0,10.53,0.57,0.16,0.62,0.25,4.81,6.22,0.774,2.75,6.03,8.78,0.84,0.53,2.06,2.22,2.62,C,2020
Aleksej Pokusevski,1,17,Olympiacos U18 (Greece),https://basketball.realgm.com/player/Aleksej-Pokusevski/Summary/130811,Overseas,12.0,8.0,21.3,9.92,3.5,8.75,0.4,1.42,4.42,0.321,1.5,1.92,0.7829999999999999,1.17,6.08,7.25,2.83,1.17,1.67,1.75,1.42,C,2020
Josh Green,1,18,Arizona,https://basketball.realgm.com/player/Josh-Green/Summary/107565,College,30.0,30.0,30.8,11.97,4.07,9.6,0.424,1.0,2.77,0.361,2.83,3.63,0.78,1.3,3.27,4.57,2.6,1.53,0.43,1.63,2.43,SG,2020
Saddiq Bey,1,19,Villanova,https://basketball.realgm.com/player/Saddiq-Bey/Summary/120280,College,31.0,31.0,33.9,16.1,5.65,11.84,0.477,2.55,5.65,0.451,2.26,2.94,0.769,1.29,3.45,4.74,2.39,0.77,0.39,1.48,2.48,F,2020
Precious Achiuwa,1,20,Memphis,https://basketball.realgm.com/player/Precious-Achiuwa/Summary/107977,College,31.0,31.0,30.4,15.77,5.87,11.9,0.493,0.42,1.29,0.325,3.61,6.03,0.599,3.0,7.77,10.77,0.97,1.1,1.87,2.81,2.35,SF,2020
Tyrese Maxey,1,21,Kentucky,https://basketball.realgm.com/player/Tyrese-Maxey/Summary/108178,College,31.0,28.0,34.5,13.97,4.84,11.32,0.4270000000000001,1.06,3.65,0.292,3.23,3.87,0.833,0.39,3.9,4.29,3.19,0.87,0.39,2.16,2.39,PG,2020
Zeke Nnaji ,1,22,Arizona,https://basketball.realgm.com/player/Zeke-Nnaji/Summary/132518,College,32.0,32.0,30.6,16.09,5.59,9.81,0.57,0.16,0.53,0.294,4.75,6.25,0.76,3.09,5.53,8.62,0.84,0.72,0.88,2.19,2.38,PF,2020
Leandro Bolmaro,1,23,FC Barcelona II (Spain),https://basketball.realgm.com/player/Leandro-Bolmaro/Summary/120098,Overseas,24.0,10.0,17.2,7.96,2.96,7.0,0.423,0.92,3.12,0.293,1.12,1.58,0.711,0.42,1.17,1.58,2.54,1.17,0.12,1.75,2.0,SG,2020
RJ Hampton,1,24,New Zealand (New Zealand),https://basketball.realgm.com/player/RJ-Hampton/Summary/117366,Overseas,17.0,14.0,21.3,9.59,3.53,8.47,0.417,0.88,3.0,0.294,1.65,2.24,0.737,0.82,3.12,3.94,2.47,1.18,0.41,1.47,2.12,G,2020
Immanuel Quickley,1,25,Kentucky,https://basketball.realgm.com/player/Immanuel-Quickley/Summary/104825,College,30.0,20.0,32.9,16.07,4.6,11.03,0.417,2.07,4.83,0.428,4.8,5.2,0.923,0.53,3.67,4.2,1.87,0.9,0.13,1.6,2.33,PG,2020
Payton Pritchard,1,26,Oregon,https://basketball.realgm.com/player/Payton-Pritchard/Summary/59506,College,31.0,31.0,36.5,20.48,6.97,14.9,0.468,2.84,6.84,0.415,3.71,4.52,0.821,0.68,3.65,4.32,5.55,1.52,0.03,2.74,2.0,PG,2020
Udoka Azubuike,1,27,Kansas,https://basketball.realgm.com/player/Udoka-Azubuike/Summary/71574,College,31.0,30.0,27.7,13.74,5.84,7.81,0.748,0.0,0.0,0.0,2.06,4.68,0.441,3.45,7.0,10.45,0.94,0.48,2.58,2.45,2.42,C,2020
Jaden McDaniels,1,28,Washington,https://basketball.realgm.com/player/Jaden-McDaniels/Summary/132425,College,31.0,21.0,31.0,12.97,4.39,10.84,0.405,1.39,4.1,0.339,2.81,3.68,0.763,1.1,4.71,5.81,2.1,0.77,1.39,3.23,3.32,F,2020
Malachi Flynn,1,29,San Diego State,https://basketball.realgm.com/player/Malachi-Flynn/Summary/89432,College,32.0,32.0,33.5,17.62,5.75,13.03,0.441,2.38,6.38,0.373,3.75,4.38,0.857,0.62,3.84,4.47,5.06,1.75,0.09,1.78,1.75,PG,2020
Desmond Bane,1,30,Texas Christian,https://basketball.realgm.com/player/Desmond-Bane/Summary/107663,College,32.0,32.0,36.1,16.59,6.16,13.62,0.452,2.88,6.5,0.442,1.41,1.78,0.789,1.44,4.91,6.34,3.88,1.47,0.53,2.31,2.19,SG,2020
